标题：能不能给我外联部的一个人的联系方式 我这边有赞助要与学校合作	链接：http://tieba.baidu.com/p/5996528918	创建时间：1-3	作者：叶丹传媒	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：0	
标题：学校有没有人打羽毛球的，可以组队打球去，没有晚点我再来问一遍	链接：http://tieba.baidu.com/p/5995954944	创建时间：1-2	作者：金牛一块...	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：3	
标题：问一下工商管理专业春考招生是怎么个模式？我19届考生，听说去	链接：http://tieba.baidu.com/p/5996274568	创建时间：1-2	作者：中华小马甲	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：1	
标题：2019年上海电影学院考研导师选择及面试准备	链接：http://tieba.baidu.com/p/5737111680	创建时间：2018-06	作者：nongsang2018	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：2	
标题：勤工俭学	链接：http://tieba.baidu.com/p/5991547073	创建时间：2018-12	作者：海上艺号...	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：3	
标题：有控制科学与工程的吗	链接：http://tieba.baidu.com/p/5988688322	创建时间：2018-12	作者：小gdgb	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：4	
标题：想问下二本学生有机会考研考到贵校嘛	链接：http://tieba.baidu.com/p/5995294897	创建时间：1-1	作者：顾北c	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：3	
标题：2020年考研，，有没有控制科学工程研究生的学长学姐啊	链接：http://tieba.baidu.com/p/5988862663	创建时间：2018-12	作者：小gdgb	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：1	
标题：问一下毛概A和毛概B的区别是什么	链接：http://tieba.baidu.com/p/5996045985	创建时间：1-2	作者：青原浅子_	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：0	
标题：已上岸通信通院学长，打算写一下本人复习的考研经验，另外顺带把	链接：http://tieba.baidu.com/p/5937249797	创建时间：2018-11	作者：啊啊啊电...	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：4	
标题：请问下研究生论文的查重要求是多少合格	链接：http://tieba.baidu.com/p/5973319226	创建时间：2018-12	作者：sancai31	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：4	
标题：计算机科学与技术专业本硕，学哥学姐求指导。	链接：http://tieba.baidu.com/p/5995928167	创建时间：1-2	作者：小情书	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：0	
标题：关于悉尼工商学院（中澳合作）的二三事	链接：http://tieba.baidu.com/p/4648228355	创建时间：2016-07	作者：下个路口...	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：346	
标题：求助！有没有喜欢漂亮衣服的大学生们	链接：http://tieba.baidu.com/p/5995878286	创建时间：1-2	作者：吃我香脚	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：2	
标题：有没有英语和韩语专业的同学呀？求帮忙，求推荐，付费的！	链接：http://tieba.baidu.com/p/5993619650	创建时间：2018-12	作者：幸福鸟90	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：5	
标题：开帖，求美国数学建模竞赛队友。本人大三数学系，孤身一人。ma	链接：http://tieba.baidu.com/p/5931293533	创建时间：2018-10	作者：渣渣辉	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：8	
标题：求购647 888的资料啊	链接：http://tieba.baidu.com/p/5995667865	创建时间：1-2	作者：喵之森	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：3	
标题：有没有1月6日早上7:20在普陀区兴陇中学参加18教师资格证面试的	链接：http://tieba.baidu.com/p/5995751743	创建时间：1-2	作者：曲奇饼oishi	发帖图片地址:：没图片	最后的回复时间：1-2	回复数量：0	
